title,price,address,amenities,type,agent,link,date
 4 Bedroom Terraced Duplex With Bq ," ₦ 160,000,000 ",Gwarinpa Abuja, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex With Bq,"
               Ademeso olalekan 
             ",/property/4-bedroom-house-for-sale-gwarinpa-abuja-1MKCP,"Updated 28 Oct 2025, Added 20 Jan 2025"
 Newly Built 5 Bedroom Duplex ,"₦ 400,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-4NSJM," Updated 29 Oct 2025, Added 22 Oct 2025"
 4 Bedroom Terraced Duplex With Bq ,"₦ 230,000,000",Ikate Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex With Bq,"
               Martin Doks 
             ",/property/4-bedroom-house-for-sale-ikate-lekki-lagos-8NSJR," Updated 29 Oct 2025, Added 22 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Duplex ,"₦ 520,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-6NSLP," Updated 29 Oct 2025, Added 23 Oct 2025"
 Newly Built 6 Bedroom Fully Detached Duplex ,"₦ 750,000,000",Chevron Lekki Lagos, 6 Beds 6 Baths ,Newly Built 6 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/6-bedroom-house-for-sale-chevron-lekki-lagos-8NSLQ," Updated 29 Oct 2025, Added 23 Oct 2025"
 Newly Built 6 Bedroom Fully Detached Duplex ,"₦ 750,000,000",Chevron Lekki Lagos, 6 Beds 6 Baths ,Newly Built 6 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/6-bedroom-house-for-sale-chevron-lekki-lagos-6NSLR," Updated 29 Oct 2025, Added 23 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Duplex With Bq ,"₦ 360,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Duplex With Bq,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-3NSMH," Updated 29 Oct 2025, Added 23 Oct 2025"
 4 Bedroom Apartment With Bq ,"₦ 400,000,000",Victoria Island Lagos, 4 Beds 4 Baths ,4 Bedroom Apartment With Bq,"
               Martin Doks 
             ",/property/4-bedroom-flat-apartment-for-sale-victoria-island-lagos-1NSWF," Updated 29 Oct 2025, Added 27 Oct 2025"
 Newly Built Five Bedroom Detached House And Pool ,"₦ 150,000,000",Ikota Lekki Ikota Lekki Lagos, 5 Beds 5 Baths ,Newly Built Five Bedroom Detached House And Pool,"
               PCL HOMES 
             ",/property/5-bedroom-house-for-sale-ikota-lekki-ikota-lekki-lagos-9NTAD," Updated 29 Oct 2025, Added 28 Oct 2025"
 Office ,"₦ 8,000,000,000",Wuse Zone 5 Wuse 1 Abuja, 10 Beds 10 Baths ,Office,"
               WELZ'S'CISCA VENTURE 
             ",/property/10-bedroom-commercial-property-for-sale-wuse-zone-5-wuse-1-abuja-1NDEM," Updated 29 Oct 2025, Added 25 Jun 2025"
 6 Units Of 4 Bedroom Terrace Duplex With Bq ," ₦ 2,500,000,000 ",Linder Chucker Crescent Close To Minister's House Asokoro Abuja, ,6 Units Of 4 Bedroom Terrace Duplex With Bq,"
               Shedrack Luka 
             ",/property/house-for-sale-linder-chucker-crescent-close-to-ministers-house-asokoro-abuja-2NQHR,"Updated 28 Oct 2025, Added 03 Oct 2025"
 Newly Built 8 Bedroom Fully Detached Duplex ,"₦ 2,500,000,000",Asokoro Extension Asokoro Abuja, 8 Beds 10 Baths ,Newly Built 8 Bedroom Fully Detached Duplex,"
               WELZ'S'CISCA VENTURE 
             ",/property/8-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-5NGDD," Updated 29 Oct 2025, Added 19 Jul 2025"
 Newly Built 8 Bedroom Fully Detached Duplex ,"₦ 2,000,000,000",Asokoro Extension Asokoro Abuja, 10 Beds 10 Baths ,Newly Built 8 Bedroom Fully Detached Duplex,"
               WELZ'S'CISCA VENTURE 
             ",/property/10-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-9NGDE," Updated 29 Oct 2025, Added 19 Jul 2025"
 7 Bedroom Fully Detached Duplex ,"₦ 1,100,000,000","Asokoro Main, Asokoro Abuja", 7 Beds 7 Baths ,7 Bedroom Fully Detached Duplex,"
               WELZ'S'CISCA VENTURE 
             ",/property/7-bedroom-house-for-sale-asokoro-main-asokoro-abuja-6NGNV," Updated 29 Oct 2025, Added 23 Jul 2025"
 102 Office Spaces ,"₦ 12,000,000,000",Wuse Zone 6 Wuse 1 Abuja, 10 Beds 10 Baths ,102 Office Spaces,"
               WELZ'S'CISCA VENTURE 
             ",/property/10-bedroom-commercial-property-for-sale-wuse-zone-6-wuse-1-abuja-4NGNY," Updated 29 Oct 2025, Added 23 Jul 2025"
